iter	Passed	Remaining
663	44220	35696
664	44288	35630
665	44355	35564
666	44421	35497
667	44488	35431
668	44555	35364
669	44621	35297
670	44687	35230
671	44754	35164
672	44820	35097
673	44887	35030
674	44953	34963
675	45019	34896
676	45085	34830
677	45153	34764
678	45220	34697
679	45286	34630
680	45353	34564
681	45419	34497
682	45438	34394
683	45504	34327
684	45571	34261
685	45641	34197
686	45707	34131
687	45774	34064
688	45841	33998
689	45907	33931
690	45974	33865
691	46040	33798
692	46107	33732
693	46173	33665
694	46239	33598
695	46307	33532
696	46373	33466
697	46440	33400
698	46507	33333
699	46573	33266
700	46641	33201
701	46710	33136
702	46776	33069
703	46843	33003
704	46909	32936
705	46976	32870
706	47042	32803
707	47108	32736
708	47175	32670
709	47241	32603
710	47308	32536
711	47374	32470
712	47440	32403
713	47508	32337
714	47574	32270
715	47641	32204
716	47708	32138
717	47774	32071
718	47841	32005
719	47907	31938
720	47974	31872
721	48041	31805
722	48107	31739
723	48174	31672
724	48241	31606
725	48307	31539
726	48373	31472
727	48440	31406
728	48506	31339
729	48574	31273
730	48641	31207
731	48707	31141
732	48774	31074
733	48841	31008
734	48907	30941
735	48974	30875
736	49042	30809
737	49109	30743
738	49175	30676
739	49242	30610
740	49308	30543
741	49375	30477
742	49441	30410
743	49508	30344
744	49575	30277
745	49642	30211
746	49708	30144
747	49774	30077
748	49841	30011
749	49907	29944
750	49974	29878
751	50040	29811
752	50106	29744
753	50174	29678
754	50241	29612
755	50308	29546
756	50374	29479
757	50443	29414
758	50509	29347
759	50575	29280
760	50641	29213
761	50708	29147
762	50774	29080
763	50841	29014
764	50907	28947
765	50974	28881
766	51040	28814
767	51107	28747
768	51173	28681
769	51240	28615
770	51307	28548
771	51373	28481
772	51439	28414
773	51506	28348
774	51572	28281
775	51639	28215
776	51705	28148
777	51772	28082
778	51842	28017
779	51909	27951
780	51975	27884
781	52041	27817
782	52109	27751
783	52176	27685
784	52243	27619
785	52309	27552
786	52375	27485
787	52442	27419
788	52509	27352
789	52575	27286
790	52641	27219
791	52708	27152
792	52774	27085
793	52840	27019
794	52906	26952
795	52973	26886
796	53039	26819
797	53106	26752
798	53172	26686
799	53239	26619
800	53306	26553
801	53372	26486
802	53438	26419
803	53505	26353
804	53572	26287
805	53639	26220
806	53706	26154
807	53772	26087
808	53839	26021
809	53905	25954
810	53971	25887
811	54038	25821
812	54105	25754
813	54172	25688
814	54238	25622
815	54304	25555
816	54371	25488
817	54437	25421
818	54505	25355
819	54571	25289
820	54637	25222
821	54704	25155
822	54770	25089
823	54837	25022
824	54902	24955
825	54971	24890
826	55037	24823
827	55103	24756
828	55169	24690
829	55236	24623
830	55302	24556
831	55369	24490
832	55436	24423
833	55503	24357
834	55569	24290
835	55636	24224
836	55702	24157
837	55768	24090
838	55834	24024
839	55901	23957
840	55967	23890
841	56033	23824
842	56099	23757
843	56166	23691
844	56233	23624
845	56299	23557
846	56365	23491
847	56432	23424
848	56498	23358
849	56565	23291
850	56633	23225
851	56701	23159
852	56767	23093
853	56834	23026
854	56901	22960
855	56967	22893
856	57033	22826
857	57100	22760
858	57167	22693
859	57234	22627
860	57300	22560
861	57366	22494
862	57444	22431
863	57510	22365
864	57576	22298
865	57642	22231
866	57709	22165
867	57775	22098
868	57842	22031
869	57907	21965
870	57974	21898
871	58040	21831
872	58106	21765
873	58171	21697
874	58238	21631
875	58305	21564
876	58372	21498
877	58439	21432
878	58506	21365
879	58572	21299
880	58639	21232
881	58706	21166
882	58773	21099
883	58839	21033
884	58906	20966
885	58972	20899
886	59039	20833
887	59105	20766
888	59172	20700
889	59238	20633
890	59306	20567
891	59373	20501
892	59439	20434
893	59506	20367
894	59573	20301
895	59639	20234
896	59706	20168
897	59772	20101
898	59839	20035
899	59905	19968
900	59972	19902
901	60038	19835
902	60105	19768
903	60172	19702
904	60241	19636
905	60307	19569
906	60374	19503
907	60441	19437
908	60508	19370
909	60575	19304
910	60645	19238
911	60713	19172
912	60779	19105
913	60846	19039
914	60912	18972
915	60979	18906
916	61044	18839
917	61111	18772
918	61176	18705
919	61244	18639
920	61310	18572
921	61376	18506
922	61443	18439
923	61510	18373
924	61577	18306
925	61643	18240
926	61711	18173
927	61776	18106
928	61844	18040
929	61911	17974
930	61978	17907
931	62044	17841
932	62111	17774
933	62177	17707
934	62243	17641
935	62310	17574
936	62377	17508
937	62444	17441
938	62510	17375
939	62576	17308
940	62643	17241
941	62709	17175
942	62775	17108
943	62842	17042
944	62908	16975
945	62975	16908
946	63041	16842
947	63108	16775
948	63176	16709
949	63242	16642
950	63309	16576
951	63376	16509
952	63443	16443
953	63509	16376
954	63575	16309
955	63640	16243
956	63707	16176
957	63773	16109
958	63840	16043
959	63906	15976
960	63972	15909
961	64038	15843
962	64104	15776
963	64171	15709
964	64238	15643
965	64305	15577
966	64371	15510
967	64438	15443
968	64504	15377
969	64571	15310
970	64637	15244
971	64704	15177
972	64770	15110
973	64837	15044
974	64902	14977
975	64969	14911
976	65036	14844
977	65104	14778
978	65170	14711
979	65237	14645
980	65303	14578
981	65369	14511
982	65435	14445
983	65501	14378
984	65568	14311
985	65634	14245
986	65700	14178
987	65766	14111
988	65832	14045
989	65901	13979
990	65967	13912
991	66034	13845
992	66100	13779
993	66167	13712
994	66233	13646
995	66299	13579
996	66366	13512
997	66432	13446
998	66498	13379
999	66564	13312
1000	66630	13246
1001	66699	13180
1002	66765	13113
1003	66832	13046
1004	66898	12980
1005	66964	12913
1006	67030	12846
1007	67097	12780
1008	67163	12713
1009	67229	12647
